Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,55500.000000,56000.000000,55000.000000,55200.000000,52305.605469,12993228
2020-01-03,56000.000000,56600.000000,54900.000000,55500.000000,52589.875000,15422255
2020-01-06,54900.000000,55600.000000,54600.000000,55500.000000,52589.875000,10278951
2020-01-07,55700.000000,56400.000000,55600.000000,55800.000000,52874.144531,10009778
2020-01-08,56200.000000,57400.000000,55900.000000,56800.000000,53821.703125,23501171
2020-01-09,58400.000000,58600.000000,57400.000000,58600.000000,55527.328125,24102579
2020-01-10,58800.000000,59700.000000,58300.000000,59500.000000,56380.132813,16000170
2020-01-13,59600.000000,60000.000000,59100.000000,60000.000000,56853.921875,11359139
2020-01-14,60400.000000,61000.000000,59900.000000,60000.000000,56853.921875,16906295
2020-01-15,59500.000000,59600.000000,58900.000000,59000.000000,55906.351563,14300928
2020-01-16,59100.000000,60700.000000,59000.000000,60700.000000,57517.207031,14381774
2020-01-17,61900.000000,62000.000000,61000.000000,61300.000000,58085.753906,16025661
2020-01-20,62000.000000,62800.000000,61700.000000,62400.000000,59128.078125,12528855
2020-01-21,62000.000000,62400.000000,61200.000000,61400.000000,58180.511719,11142693
2020-01-22,60500.000000,62600.000000,60400.000000,62300.000000,59033.320313,15339565
2020-01-23,61800.000000,61800.000000,60700.000000,60800.000000,57611.968750,14916555
2020-01-28,59400.000000,59400.000000,58300.000000,58800.000000,55716.835938,23664541
2020-01-29,59100.000000,59700.000000,58800.000000,59100.000000,56001.109375,16446102
2020-01-30,58800.000000,58800.000000,56800.000000,57200.000000,54200.734375,20821939
2020-01-31,57800.000000,58400.000000,56400.000000,56400.000000,53442.683594,19749457
2020-02-03,55500.000000,57400.000000,55200.000000,57200.000000,54200.734375,23995260
2020-02-04,57100.000000,59000.000000,56800.000000,58900.000000,55811.601563,21800192
2020-02-05,60000.000000,60200.000000,58900.000000,59500.000000,56380.132813,19278165
2020-02-06,60100.000000,61100.000000,59700.000000,61100.000000,57896.238281,14727159
2020-02-07,61100.000000,61200.000000,59700.000000,60400.000000,57232.945313,16402493
2020-02-10,59200.000000,59800.000000,59100.000000,59700.000000,56569.644531,13107121
2020-02-11,59800.000000,60700.000000,59700.000000,59900.000000,56759.160156,11071231
2020-02-12,60300.000000,60700.000000,59700.000000,60500.000000,57327.695313,12904207
2020-02-13,61200.000000,61600.000000,60500.000000,60700.000000,57517.207031,18449775
2020-02-14,60900.000000,61900.000000,60200.000000,61800.000000,58559.539063,13276067
2020-02-17,61600.000000,62000.000000,61200.000000,61500.000000,58275.265625,8740596
2020-02-18,60800.000000,60900.000000,59700.000000,59800.000000,56664.402344,16674266
2020-02-19,59800.000000,60400.000000,59400.000000,60200.000000,57043.433594,12951496
2020-02-20,60700.000000,61300.000000,59600.000000,60000.000000,56853.921875,14591924
2020-02-21,58800.000000,59800.000000,58500.000000,59200.000000,56095.863281,13777393
2020-02-24,57400.000000,58100.000000,56800.000000,56800.000000,53821.703125,25627537
2020-02-25,56200.000000,58000.000000,56200.000000,57900.000000,54864.027344,23885408
2020-02-26,56000.000000,57000.000000,56000.000000,56500.000000,53537.441406,25483102
2020-02-27,56300.000000,56900.000000,55500.000000,55900.000000,52968.898438,23209541
2020-02-28,55000.000000,55500.000000,54200.000000,54200.000000,51358.039063,30054227
2020-03-02,54300.000000,55500.000000,53600.000000,55000.000000,52116.093750,30403412
2020-03-03,56700.000000,56900.000000,55100.000000,55400.000000,52495.121094,30330295
2020-03-04,54800.000000,57600.000000,54600.000000,57400.000000,54390.246094,24765728
2020-03-05,57600.000000,58000.000000,56700.000000,57800.000000,54769.273438,21698990
2020-03-06,56500.000000,57200.000000,56200.000000,56500.000000,53537.441406,18716656
2020-03-09,56500.000000,56500.000000,56500.000000,56500.000000,53537.441406,0
2020-03-10,53800.000000,54900.000000,53700.000000,54600.000000,51737.070313,32106554
2020-03-11,54300.000000,54400.000000,52000.000000,52100.000000,49368.152344,45707281
2020-03-12,52100.000000,52100.000000,52100.000000,52100.000000,49368.152344,0
2020-03-13,47450.000000,51600.000000,46850.000000,49950.000000,47330.886719,59462933
2020-03-16,50100.000000,50900.000000,48800.000000,48900.000000,46335.945313,33339821
2020-03-17,46900.000000,49650.000000,46700.000000,47300.000000,44819.843750,51218151
2020-03-18,47750.000000,48350.000000,45600.000000,45600.000000,43208.976563,40152623
2020-03-19,46400.000000,46650.000000,42300.000000,42950.000000,40697.925781,56925513
2020-03-20,44150.000000,45500.000000,43550.000000,45400.000000,43019.464844,49730008
2020-03-23,42600.000000,43550.000000,42400.000000,42500.000000,40271.527344,41701626
2020-03-24,43850.000000,46950.000000,43050.000000,46950.000000,44488.191406,49801908
2020-03-25,48950.000000,49600.000000,47150.000000,48650.000000,46099.050781,52735922
2020-03-26,49000.000000,49300.000000,47700.000000,47800.000000,45293.625000,42185129
2020-03-27,49600.000000,49700.000000,46850.000000,48300.000000,45767.410156,39896178
2020-03-30,47050.000000,48350.000000,46550.000000,47850.000000,45675.765625,26797395
2020-03-31,48000.000000,48500.000000,47150.000000,47750.000000,45580.304688,30654261
2020-04-01,47450.000000,47900.000000,45800.000000,45800.000000,43718.914063,27259532
2020-04-02,46200.000000,46850.000000,45350.000000,46800.000000,44673.476563,21621076
2020-04-03,47400.000000,47600.000000,46550.000000,47000.000000,44864.390625,22784682
2020-04-06,47500.000000,48800.000000,47250.000000,48700.000000,46487.140625,23395726
2020-04-07,49650.000000,50200.000000,49000.000000,49600.000000,47346.250000,31524034
2020-04-08,49600.000000,49750.000000,48600.000000,48600.000000,46391.683594,25010314
2020-04-09,49750.000000,49800.000000,48700.000000,49100.000000,46868.968750,22628058
2020-04-10,48950.000000,49250.000000,48650.000000,49250.000000,47012.152344,17839111
2020-04-13,48650.000000,48900.000000,48300.000000,48300.000000,46105.320313,14431800
2020-04-14,48800.000000,49200.000000,48300.000000,49000.000000,46773.507813,14206216
2020-04-16,49350.000000,49350.000000,48550.000000,49000.000000,46773.507813,23349760
