user,location,tweet
Josehumpie1,,"RT @Supertransporte: Si todos los colombianos descargan la aplicación móvil ‘CoronApp - Colombia’, podremos focalizar los puntos de contagi…"
JorgeRo54778674,,"RT @Supertransporte: Un video, un tweet, un mensaje de voz… cualquier opción es válida para darle gracias👏 a los #HéroesEnLaVía por entrega…"
JorgeRo54778674,,RT @Supertransporte: 👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta #HéroesEnLaVía…
mmmachadoangel,Colombia,"RT @ANI_Colombia: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansab…"
Juliana76974503,"Ibagué, Colombia","RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
davidjavier1227,,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
aefloresdiaz,,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
nubiagu090863,"Villavicencio, Colombia","RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
PaolaGo50617571,,"RT @AlcaldiaTunja: A ti conductor de bus que haces parte de los #HéroesEnLaVía, exaltamos tu entrega y dedicación al recorrer las calles de…"
PaolaGo50617571,,"RT @AlcaldiaTunja: Hoy aplaudimos a todos nuestros ""amarillitos"" que también son #HéroesEnLaVía. Gracias por ser ese soporte necesario para…"
andrea_medranor,Polombia,"@CRutadelCacao Estoy en un grupo donde muchos han manifestado su inconformidad por tener que trabajar, creo que est… https://t.co/VVbtuJSFxk"
concesionAV,"Tolima, Colombia",Envíales a nuestros transportadores🚚de carga un mensaje 📨para recordarles lo importante que es su labor y porqué un… https://t.co/rIN0a6hUhl
NelsonLopez5287,,"RT @TransitoPolicia: #PrevenciónyAcción Es grato ver nuestra bandera de Colombia, en honor a los #HéroesEnLaVía, reconocemos esta ardua lab…"
Camionerosdeco1,,"RT @juanesgil1: Todos los colombianos hoy les damos gracias a cada transportador, controlador vial, camionero, taxista y operario por su in…"
Sebasti38687750,,RT @MinTransporteCo: 👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta #HéroesEnLaVía…
Juliana76974503,"Ibagué, Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Marjori75003811,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Extraor37663058,,RT @MinTransporteCo: 👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta #HéroesEnLaVía…
CarlosM57863530,"Barrancabermeja, Colombia","RT @TransitoPolicia: #PrevenciónyAcción Es grato ver nuestra bandera de Colombia, en honor a los #HéroesEnLaVía, reconocemos esta ardua lab…"
MinTransporteCo,Colombia,👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta… https://t.co/NlQCRZjbjV
Malakia64817773,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
MinTransporteCo,Colombia,"Los #HéroesEnLaVía no vuelan, pero si están salvando el país🇨🇴. Comparte tu mensaje de agradecimiento con el hashta… https://t.co/Lp6AOrqZXH"
vargas_grisales,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
BISONTE42,Colombia,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
andreszambranol,"Bogotá, Colombia","RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
jon5701,,RT @Supertransporte: Envíales a las controladoras de vías un mensaje 📨para que no olviden lo importante que es su labor y porqué un país en…
jon5701,,"RT @Supertransporte: Con la aplicación móvil #CoronAppColombia puedes registrar tus síntomas y los de tu familia, localizar los focos de co…"
jon5701,,RT @Supertransporte: #PorTuVidaPorMiVida En la aplicación CoronApp-Colombia 🇨🇴 puedes conocer los centros de atención médica más cercanos a…
lavitrina2020,"Dabeiba, Colombia",RT @AutopistasUraba: 👏Celebra su importante labor y hazle llegar a nuestros obreros de las vías tu mensaje de agradecimiento con la etiquet…
yair_aguilar07,"Bogotá, DC, Colombia","RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
OfelitaOspina,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
Albertocuerquia,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
AutopistasUraba,"Medellín, Colombia",👏Celebra su importante labor y hazle llegar a nuestros obreros de las vías tu mensaje de agradecimiento con la etiq… https://t.co/wN7uPShFU2
DerBesteVater,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
EagleCapitan,"Calgary, Alberta","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
AutopistasUraba,"Medellín, Colombia","Detrás de cada alimento 🥦🍅🌽que está en tu mesa hay horas de arduo trabajo de los 🚚 transportadores de carga, que lo… https://t.co/6n3fRiOiUn"
CapitanAirWolf,"Calgary, Alberta","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
volquetasmedall,,RT @AVA_antioquia: Las VOLQUETAS también somos #HeroesEnLaVia  en la realización de vías y luego en su mantenimiento atentos a toda urgenci…
juanpis880927,Bogotá,RT @carlosvargas182: Hoy destaco el trabado de estos #HéroesEnLaVia - transportadores y militares. Ellos hacen posible el abastecimiento de…
MarthaDeZubiria,Bogotá - Colombia,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
DINAGUT93185226,,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
cmilavargas,"Düsseldorf, Alemania","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
esteparomero1,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
sintraMosquera,"Mosquera,Cundinamarca",RT @utrans_oficial: #HéroesEnLaVía gracias 🙏🏻 @GoogleColombia https://t.co/zfW944ArWw
herreratgm562,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
abogadodimas1,,"RT @Supertransporte: #PorTuVidaPorMiVida En la aplicación CoronApp-Colombia puedes registrar tus síntomas y los de tu familia diariamente,…"
abogadodimas1,,RT @Supertransporte: ¿No quisieras agradecer a los valientes que han llevado la comida a las ciudades por su compromiso con el país? Te inv…
Jeff10103,"Quindio, Colombia","RT @Supertransporte: #PorTuVidaPorMiVida En la aplicación CoronApp-Colombia puedes registrar tus síntomas y los de tu familia diariamente,…"
