user,location,text,sentiment,probability
miboyaca_co,Tunja   ,"Último   #Reporte  @MinSaludCol   Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065… https://t.co/QQ04MMoHAP",Positivo,64
Moises31406791,España,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/JHMJabPPhd",Positivo,64
PabloRodriguezB,Barranquilla,"""#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19… https://t.co/Nd1yKP3FY4",Positivo,64
AmericaDigital,Continente Americano,"Atención #REPORTE actualizado de número de casos confirmados y muertes por coronavirus en #EEUU 

https://t.co/FruNY9jlSN",Positivo,57
NoticiasBQ,"Barranquilla, Colombia","#Reporte🦠#COVID2019 🇨🇴 
😷  Nuevos Casos: 
✅ Pacientes Recuperados:39
⚰️ Fallecidos: 17
📈Total contagios: 1.065 paci… https://t.co/67G2IYq7cR",Positivo,66
jpserna,Barranquilla/Colombia,"#Reporte🦠#COVID2019 🇨🇴 
😷  Nuevos Casos: 
✅ Pacientes Recuperados:39
⚰️ Fallecidos: 17
📈Total contagios: 1.065 paci… https://t.co/3xzszDvmUY",Positivo,66
Boyacaaldia89_1,"Tunja, Colombia","#Reporte🦠 
El ministerio de Salud Confirma 159 casos nuevos de coronavirus en el país y 1 fallecido, para un total… https://t.co/fHJCFuvCpb",Positivo,57
famer1111,floridablanca,"@vanguardiacom #Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes… https://t.co/8zyDgOPkWq",Positivo,64
BananaStereo,"Chigorodó (Urabá), Antioquia","#Reporte 🦠 #CoronaVirus 

Se confirman hoy miércoles 1 de abril, 159 casos nuevos de coronavirus y 1 fallecido, par… https://t.co/V1xaq8MPe1",Positivo,73
sofyvaldivia,"Oaxaca, México",#REPORTE Ⓜ️ 🚔🚨 Elementos de la 23va. Compañía de Infantería No Encuadrada en coordinación con autoridades y habitan… https://t.co/Oyvp4wtZgv,Positivo,66
CanalSurPatagon,"Coyhaique, Región de Aysén, Patagonia, Chile",#Reporte de hoy Miércoles 01.04.2020 COVID-19 #Coronavirus #Aysen https://t.co/CeIPAsSIi8 vía @YouTube,Positivo,75
Canalmonteria,"Montería, Córdoba","#Reporte🦠 Confirmados 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/twVtM3tfaq",Positivo,64
SucreComunica,Sincelejo,"#colombia #sincelejo #Reporte Se confirman 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pac… https://t.co/6JVqzcC05t",Positivo,64
PaolaSenadora,Colombia,"#Reporte🦠 Confirmados 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/4ZOWpvewk9",Positivo,64
eliradio,cucuta - colombia,"#Reporte🦠

Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19… https://t.co/LOUnWM6h8n",Positivo,64
Jaime_Lacouture,"Bogotá, DC, Colombia","#Reporte de hoy 1 de abril Confirman 159 casos nuevos y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/cWXgNHtVlJ",Positivo,71
mirandatv22,"Miranda, Colombia","#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/4FX6nWPHmB",Positivo,64
Periodico_Valle,"Guadalajara de Buga, Colombia","#Reporte del Ministerio de Salud confirmados 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 p… https://t.co/hpQxDh1MJ0",Positivo,61
facetasdeboyaca,"Tunja, Boyacá","#CovidEnColombia #Reporte Confirmamos 159 casos nuevos de #coronavirus y 1 fallecido, para un total de 1065 pacient… https://t.co/VeiYVxcBUC",Positivo,64
android_choco,Quibdó - Chocó,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/1SrrATCcMo",Positivo,64
ElOjoVallenato,Colombia,"#Reporte🦠 Confirmamos 159 casos nuevos de coronavirus y 1 fallecido, para un total de 1065 pacientes con COVID-19 y… https://t.co/myHx2x4AR5",Positivo,64
