user,location,tweet,sentiment,probability
andrea_medranor,Polombia,"@CRutadelCacao Estoy en un grupo donde muchos han manifestado su inconformidad por tener que trabajar, creo que est… https://t.co/VVbtuJSFxk",Positivo,64
concesionAV,"Tolima, Colombia",Envíales a nuestros transportadores🚚de carga un mensaje 📨para recordarles lo importante que es su labor y porqué un… https://t.co/rIN0a6hUhl,Positivo,70
NelsonLopez5287,,"RT @TransitoPolicia: #PrevenciónyAcción Es grato ver nuestra bandera de Colombia, en honor a los #HéroesEnLaVía, reconocemos esta ardua lab…",Positivo,73
Camionerosdeco1,,"RT @juanesgil1: Todos los colombianos hoy les damos gracias a cada transportador, controlador vial, camionero, taxista y operario por su in…",Positivo,88
Sebasti38687750,,RT @MinTransporteCo: 👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta #HéroesEnLaVía…,Positivo,72
Juliana76974503,"Ibagué, Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
Marjori75003811,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
Extraor37663058,,RT @MinTransporteCo: 👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta #HéroesEnLaVía…,Positivo,72
CarlosM57863530,"Barrancabermeja, Colombia","RT @TransitoPolicia: #PrevenciónyAcción Es grato ver nuestra bandera de Colombia, en honor a los #HéroesEnLaVía, reconocemos esta ardua lab…",Positivo,73
MinTransporteCo,Colombia,👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta… https://t.co/NlQCRZjbjV,Positivo,75
Malakia64817773,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
MinTransporteCo,Colombia,"Los #HéroesEnLaVía no vuelan, pero si están salvando el país🇨🇴. Comparte tu mensaje de agradecimiento con el hashta… https://t.co/Lp6AOrqZXH",Positivo,63
vargas_grisales,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…",Positivo,83
BISONTE42,Colombia,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
andreszambranol,"Bogotá, Colombia","RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…",Positivo,83
jon5701,,RT @Supertransporte: Envíales a las controladoras de vías un mensaje 📨para que no olviden lo importante que es su labor y porqué un país en…,Positivo,68
jon5701,,"RT @Supertransporte: Con la aplicación móvil #CoronAppColombia puedes registrar tus síntomas y los de tu familia, localizar los focos de co…",Positivo,71
jon5701,,RT @Supertransporte: #PorTuVidaPorMiVida En la aplicación CoronApp-Colombia 🇨🇴 puedes conocer los centros de atención médica más cercanos a…,Positivo,72
lavitrina2020,"Dabeiba, Colombia",RT @AutopistasUraba: 👏Celebra su importante labor y hazle llegar a nuestros obreros de las vías tu mensaje de agradecimiento con la etiquet…,Positivo,73
yair_aguilar07,"Bogotá, DC, Colombia","RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…",Positivo,71
OfelitaOspina,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…",Positivo,83
Albertocuerquia,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…",Positivo,83
AutopistasUraba,"Medellín, Colombia",👏Celebra su importante labor y hazle llegar a nuestros obreros de las vías tu mensaje de agradecimiento con la etiq… https://t.co/wN7uPShFU2,Positivo,75
DerBesteVater,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
EagleCapitan,"Calgary, Alberta","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
AutopistasUraba,"Medellín, Colombia","Detrás de cada alimento 🥦🍅🌽que está en tu mesa hay horas de arduo trabajo de los 🚚 transportadores de carga, que lo… https://t.co/6n3fRiOiUn",Positivo,74
CapitanAirWolf,"Calgary, Alberta","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
volquetasmedall,,RT @AVA_antioquia: Las VOLQUETAS también somos #HeroesEnLaVia  en la realización de vías y luego en su mantenimiento atentos a toda urgenci…,Positivo,73
juanpis880927,Bogotá,RT @carlosvargas182: Hoy destaco el trabado de estos #HéroesEnLaVia - transportadores y militares. Ellos hacen posible el abastecimiento de…,Positivo,69
MarthaDeZubiria,Bogotá - Colombia,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…",Positivo,77
DINAGUT93185226,,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…",Positivo,71
