user,location,tweet,sentiment,probability
RedMasNoticias,Colombia,"📲#Video | #PicoYGénero será implementado en Espinal, #Tolima. 👇

Información con Germán Forero en #RedMásNoticias.… https://t.co/Ql3iN39H79",Positivo,67
PlazaImperial,Bogotá Colombia,#PlazaImperial te recuerda que de acuerdo a la medida de #picoygénero hoy 15 de abril solo podrán movilizarse las p… https://t.co/NPeWeHStT1,Positivo,62
Martin_ESR,Colombia,@LuisErnestoGL @ClaudiaLopez el tema del #PicoyGenero con esos datos que exaltan el comportamiento de las mujeres e… https://t.co/41Q3t9Dk96,Positivo,65
AlfonsoMarrugo6,"Cartagena, Colombia",@AlcaldiaCTG los activistas LGBTI creemos necesario volver al #picoycédula en #Cartagena porque evita los escenario… https://t.co/l2FOl3gXMf,Positivo,69
DmocraciaLight,Colombia,@TembloresOng Hola!! Escribimos sobre porque @ClaudiaLopez debe derogar el #PicoyGenero e hicimos énfasis en el abu… https://t.co/SflbbJrFJe,Positivo,62
chelo1215,Bogotá - Colombia,"No tan #FelizMiércoles para Bogotá, se acerca a los 3000 contagiados, el Pdte d la Cámara d Comercio Bogotá Nicolás… https://t.co/ixtpAxmk56",Positivo,65
cerosetenta,Bogotá-Colombia,"Según @LuisErnestoGL se redujo las aglomeraciones en un 60% gracias al #PicoYGénero. 
En Perú, se implementó la med… https://t.co/ywwP7jXJEm",Positivo,85
RedMasNoticias,Colombia,"#Bogotá | Mujeres, las que más cumplen la restricción de #PicoYGénero. 

Así lo señaló el secretario de Gobierno,… https://t.co/m0TWtRIVPF",Positivo,65
H_LIEV,second floor an third too,Con el #PicoyGenero de Doña @ClaudiaLopez se puede ver que está manejando a Bogotá cómo su Theatron personal.,Positivo,58
Armand94331,,"@ClaudiaLopez @sergio_fajardo En que ciudad despertó ud, ya que en corabastos y otros sectores su #PicoyGenero no c… https://t.co/6433Uh1I8l",Positivo,70
Col_Informa,Colombia,"#Géneros | Hasta el 26 de abril regirá en Bogotá el llamado #PicoYGénero. Es una medida expedida por la Alcaldía, c… https://t.co/k5JNB4ReWQ",Positivo,69
LaudEstereo,Bogotá - Colombia,"#AlAire |“ “El #PicoYGénero sí ha dado resultado con cifras claras, las aglomeraciones en grandes superficies  se r… https://t.co/DA3KUDpWnq",Positivo,67
teusaquillo13,Calle 39B # 19-30,Con la medida del #PicoyGénero se redujo la afluencia de personas a los supermercados en un 60% estos esfuerzos de… https://t.co/f2kWOzPvp3,Positivo,65
FernandoCruzT,Trujillo - Perú,Pico y género https://t.co/UOwXn1Ibxp #picoygenero,Positivo,69
RedMasNoticias,Colombia,📺#EmisiónEspecial | Más de 600 hombres fueron multados el martes 14 de abril por incumplir el #PicoyGénero en Bogot… https://t.co/wgmn7lt7b1,Positivo,70
