user,location,text
sanvicentedech,San Vicente de Chucuri,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/IKIvJIdIKc"
PaolaSenadora,Colombia,"#Reporte🦠Confirmados 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/mgou9kaPSM"
wrojaspalma,,"#Reporte🦠@MinSaludCol Confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pac… https://t.co/KVI1HdbfiP"
Capitalsalud,"Bogotá, Villavicencio y 22 mun","#Reporte🦠@MinSaludCol Confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pac… https://t.co/65ypNlZULa"
ElOjoVallenato,Colombia,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/InMWyhe3k1"
cncnoticias,Pereira - Colombia,"#ÚltimaHora 

#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906… https://t.co/uiDVM6QEW8"
MinSaludCol,,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/O1q7UFBXNe"
mundoescazu,,#Reporte Alto de las Palomas Incendio Forestal https://t.co/XwckLAUkK1
miltonandree,Coahuila,"#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 12:00 horas.

Con… https://t.co/PDtStTfpv0"
GobDeCoahuila,Coahuila de Zaragoza,"📍#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚 12:00 horas.… https://t.co/xVr3MoHqy1"
CONAFOR,México,"#Reporte de #IncendiosForestales 🗓️🌳 31/03/2020
Se registran 
🔥37 Activos 
💦17 liquidados 

Atienden 987 combatient… https://t.co/yCEwuGiQpA"
estado21_,"Puebla, México","#Reporte Una mujer fue asaltada y despojada de su teléfono (iPhone6) en La Margarita, sucedió cerca de las 10 AM so… https://t.co/1R2xhJQnlD"
sofyvaldivia,"Oaxaca, México","#REPORTE Ⓜ️🚔🚨➡️ Vecinos del fraccionamiento El Rosario, en San Sebastián #Tutla reportan fuerte incendio que amenaz… https://t.co/xq4y2ZDmIg"
Conagua_Sonora,Hermosillo Sonora,#Reporte de datos climatológicos de estaciones meteorológicas automáticas y aeropuertos de OCNO #Sonora https://t.co/fwJGv1Sxcr
jiazhac,Edo. Miranda Los Teques ,@Rosanagom #reporte 21811281 Fui a CANTV a ver que pasaba  con este reporte la persona que me atendidio no entiende… https://t.co/dK7tTP8jyo
lidacarrasco,Puno-Perú,"#Reporte hasta el #31_de_marzo, #Coronavirus en el #Mundo. las cifras son alarmantes sobre expansión de esta pandem… https://t.co/fV2UuzMGFv"
INAMEH,Venezuela,#31Mar #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 12:00 HLV @tutiempopereira… https://t.co/vscmhZqRHz
ZenzontleG,,#REPORTE MINSA 31|032020 10 a.m. https://t.co/fh9gIwmNu6
elinformatico77,"Táchira, Venezuela",".@ContactoCantv para cuando reparan la falla con mi línea telefónica, ya rumbo a 2 años sin tono para llamadas, nec… https://t.co/hHaGpEL4Td"
KadavalaArjun,,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/UaTXB36cSh"
INAMEH,Venezuela,#31Mar #INAMEHInforma  En la Imagen de satélite en canal visible se observa nubosidad convectiva generadora de prec… https://t.co/bKHOhr6M52
INAMEH,Venezuela,"#31Mar #INAMEHInforma  Nubosidad fragmentada sobre los Andes, Llanos Occidentales, Bolívar, Amazonas, Miranda y est… https://t.co/Uf5Ej2Ykpf"
Imagen_Puebla,"Puebla, México","#Reporte: El Secretario de Salud, @JorgeHumbertoU, informa que el número de casos positivos de #Covid_19 en #Puebla… https://t.co/lqU2jeQrWq"
BomberosEnvi,Envigado - Antioquia,"#Reporte | Se realiza el corte de un árbol que obstruye la totalidad de la vía en el barrio Obrero, transversal 34A… https://t.co/NZvdrMntkD"
ccypctw,"Trelew, Argentina","#Reporte diario
#Coronavirus
📌Sin casos positivos en la provincia del #Chubut 
31.03.2020

Para mas info➡… https://t.co/Aw87kQgabT"
BFula1970,"Mérida, Venezuela",#31Mar #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 05:30 HLV https://t.co/C4ACLmHNu7
CentralReedan,,#31Mar #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 05:30 HLV @tutiempopereira… https://t.co/e9lUU3FPTt
pelechamemories,,"@ZuliaDavalos Acá toy, presente UNA #Reporte"
trujillopcad,"Trujillo, Venezuela","#31Mar  Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas en oeste de Táchira,… https://t.co/ltCy6Zt6Is"
fredysliendo,Venezuela,"GOBIERNO DE LARA
#REPORTE DE SALUD 
#REPORTE DE SERVICIOSPUBLICOS    
CacerorolaMacTV https://t.co/gmv4KtGNS1"
LaPiedadCity,"La Piedad, Michoacán",¡Buenos días a todos! La temperatura actual es de 14ºC y llegaremos hasta los 32 ºC el día de hoy. #Reporte #Clima #LaPiedad #Michoacan
trujillopcad,"Trujillo, Venezuela",#31Mar Condiciones Meteorológicas próximas 24 Horas #Reporte de las 06:00 HLV https://t.co/xduRuX0K3t
PCivil_Ve,Caracas_Venezuela,"#31Mar 🚨 Condiciones Meteorológicas próximas 24 Horas #Reporte de las 06:00 HLV
#FelizMartes https://t.co/K8NFRw0cJD"
pcivilsucre,"Sucre, Venezuela",31Mar #INAMEHInforma  Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas en oeste… https://t.co/3s7MSAfZE7
pcivilsucre,"Sucre, Venezuela","#31Mar #INAMEHInforma Condiciones Meteorológicas próximas 24 Horas #Reporte de las 06:00 HLV
@tutiempopereira… https://t.co/reXUMvgcjM"
DetektorVE,Venezuela,"En caso de robo o hurto y tu vehículo tiene un dispositivo @detektorve debes seguir estos 4 sencillos pasos
..… https://t.co/gJ4O1VQXkr"
FMCENTER,,Vía - @INAMEH: #31Mar #INAMEHInforma Condiciones Meteorológicas próximas 24 Horas #Reporte de las 06:00 HLV… https://t.co/tZ5jFMBPkn
INAMEH,Venezuela,"#31Mar #INAMEHInforma Condiciones Meteorológicas próximas 24 Horas #Reporte de las 06:00 HLV
@tutiempopereira… https://t.co/xrifOE8A3f"
PCivil_Ve,Caracas_Venezuela,"#31Mar #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 05:30 HLV 
#FelizMartes https://t.co/39GJhNBKXg"
PCivil_Ve,Caracas_Venezuela,#31Mar #INAMEHInforma  Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas en oest… https://t.co/cO7RJVEpKX
dgnboficial,,#31Mar #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 05:30 HLV @tutiempopereira… https://t.co/mcz0yDfk1P
dgnboficial,,#31Mar #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 05:30 HLV @tutiempopereira… https://t.co/mSyUJ5N4ec
dgnboficial,,#31Mar #INAMEHInforma  Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas en oest… https://t.co/Nr9lwb8lRL
INAMEH,Venezuela,#31Mar #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 05:30 HLV @tutiempopereira… https://t.co/wV7H5JMRjF
INAMEH,Venezuela,"#31Mar #INAMEHInforma Pronóstico de Oleaje #Reporte de las 05:30 HLV.
@tutiempopereira
@NestorLReverol
#FelizMartes https://t.co/HLOC6nePnr"
INAMEH,Venezuela,#31Mar #INAMEHInforma  Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas en oest… https://t.co/vyqw9axoxk
WebfeNoticias,,"New post (Llegan a 24 las víctimas fatales y a 966 los casos positivos, informó el Ministerio de Salud) has been pu… https://t.co/vhXu8g15gB"
NeryGime,Minga Guazú ,No funciona mi Dm #Reporte
anita_saba,United States,Y los #reporte s de pedro
mundoescazu,,#Reporte Vecinos acuden a cisterna para abastecer de agua potable sus hogares en Bajo Anonos ante la falta de agua… https://t.co/HUhlkOYEH3
ReporteSanCris,"San Cristóbal de Las Casas, Chiapas.","#Reporte. #COVID19. 30/03/2020.

•1,094 casos confirmados
•2,752 casos sospechosos
•5,635 casos negativos
•28 defun… https://t.co/kYW65TOZxE"
HumbertoRoblesM,San Cristóbal de Las Casas.,"#Reporte. #COVID19. 30/03/2020.

•1,094 casos confirmados
•2,752 casos sospechosos
•5,635 casos negativos
•28 defun… https://t.co/IkEPllnAXH"
UTTorreon,"Torreon, Coahuila, Mexico","📍#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚 19:00 horas.… https://t.co/F6Qo2NbJZb"
PedroCab93,,"@CarlinGdelaF #Reporte era para cubrir los Eventos twitteriles como bardos y tanteos, el #Resumen era si o si cada 15 minutos."
CarlinGdelaF,"Asuncion, Paraguay",Jamás me olvido del #Reporte del Dr Pedro 🥺 https://t.co/Rx70tqxEUC
cronica,"Buenos Aires, Argentina",Confirman 4 nuevos muertos por coronavirus y 146 infectados en Argentina #Coronavirus #Reporte #Argentina https://t.co/GrPPtiSidt
Somoselmedio,Ciudad de México,"#Reporte sobre el Coronavirus COVID-19 en México 30 de marzo 2020: 1,094 casos confirmados, 2,752 casos sospechosos… https://t.co/4pYSUQTx5j"
LaudEstereo,Bogotá - Colombia,#COVID19 #Reporte Así avanzan los casos de coronavirus en Colombia y el mundo 🌎 . #QuédateEnCasaConLAUD… https://t.co/dMtF8IJ8km
monterialcaldia,Montería - Córdoba - Colombia,#Reporte 📣| 25 personas han sido sancionadas hoy por no cumplir con la norma de aislamiento preventivo obligatorio.… https://t.co/s9pBPcQtdl
GobDeCoahuila,Coahuila de Zaragoza,"📍#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚 19:00 horas.… https://t.co/v01GiSEBT6"
Conagua_Sonora,Hermosillo Sonora,#Reporte preliminar de temperaturas máximas registradas esta tarde del centro y sur de #Sonora arriba de los 30°C https://t.co/bjiSOrBF3y
Ciberadio,,[REPORTE] 🌎 Ana María Serrano Muñoz nos cuenta detalles sobre las medidas gubernamentales que Canadá  ha tomado has… https://t.co/OBUTChdccN
InnSocialWeb,,"ATENCIÓN
#Reporte @MinSaludCol - 30 de marzo 2020. #Covid19Colombia https://t.co/cQ3lLAAGp8"
eduarbike,"Santa Marta, Colombia","Si el #reporte de mañana que va a presentar el @MinSaludCol salen con el cuento de 90 casos de COVID19, entonces cr… https://t.co/ZpaoJ35X9m"
mundoescazu,,#Reporte Cuadrilla del AyA ya trabaja fuga en Bello Horizonte de Escazú https://t.co/AAGLi05YAj
INAMEH,Venezuela,"#30Mar #INAMEHInforma  Nubosidad convectiva generadora de precipitaciones y descargas eléctricas en Zulia, Táchira,… https://t.co/jEN8wMferF"
nc_izabal,Estado de México,"#Reporte sobre las condiciones de competencia en el
mercado de crédito para la adquisición de vivienda de @Banxico &gt; https://t.co/HVLuLEkzy1"
neojack64,COLOMBIA,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/wCOQdobSif"
jimmyanjel,medellin-antioquia-Colombia,"#Reporte🦠Confirmados 96 nuevos casos de #Covid_19 coronavirus y 2 fallecidos en el país, para un total de 798 pacie… https://t.co/VhU7UwGoHo"
mundoescazu,,#Reporte Fuga de agua sector Bello Horizonte de Escazú https://t.co/bTTokULJA0
cesar24775,"Rosario, Argentina","""@NACHOGIRON #CUARENTENA DíA 16 #REPORTE #CORONAVIRUS x @METROMEDIO"" ""El virus en la ropa y en los picaportes dura… https://t.co/1yhWSTiL8K"
prensa_bello,,#Reporte Información casos en el municipio de Pueblo Bello-Cesar #CoronavirusEnColombia https://t.co/Tp667tg9yF
conceptsmedical,"Bogotá, D.C., Colombia","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/H8aaJjwkSH"
fredysliendo,Venezuela,"#REPORTE ALIMENTACIÓN 
CEDRA - LARA DESPACHA ALIMENTOS A COMUNIDADES VULNERABLES..CacerolaMacTV https://t.co/Qz4jAcC9IV"
BlogDelRegio,México,Toda la información sobre el panorama del #Coronavirus en #NuevoLeón en la siguiente liga: 👉🏽… https://t.co/ReM4h9Iv8o
fredysliendo,Venezuela,"#REPORTE ALIMENTACIÓN 
CEDRA - LARA DESPACHA ALIMENTOS A COMUNIDADES VULNERABLES. CacerolaMacTV https://t.co/trCvrnUy4T"
sofyvaldivia,"Oaxaca, México","#REPORTE Ⓜ️🚔🚨➡️ Bomberos lograron sofocar un incendio de media hectaria de árboles secos y hojarasca, en Santa Marí… https://t.co/c6CRLff9Fn"
Dr_Ivanoncologo,"Puebla, Pue.",#Cancer #Covid_19 | #Reporte de cómo los pacientes #oncológicos tienen que esperar su tratamiento por la pandemia d… https://t.co/cLGWINxUiX
ahora247,Colombia,"#Reporte en Colombia 🇨🇴 

MinSalud confirma 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total… https://t.co/QIcCRDmZDY"
cadenasurtv,,"#Reporte de la #Actividad del #Popocatépetl
https://t.co/eRWflhI8Oj https://t.co/tZtIEjvAQP"
daolayap,"Bogotá, D.C., Colombia","#Reporte🦠Se confirman 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con… https://t.co/Xb6EcmLX20"
INAMEH,Venezuela,#30Mar #INAMEHInforma  Se observa en imagen visible nubosidad convectiva generadora de precipitaciones y descargas… https://t.co/x5JuiVVVwb
sofyvaldivia,"Oaxaca, México",#Reporte Ⓜ️🚔🚨➡️ Vecinos reportan incendio sobre carretera federal 190 antes de llegar a San Jerónimo #Tlacochahuaya… https://t.co/tooTrZkbad
mirandatv22,"Miranda, Colombia","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/L6nakX5zHd"
CanalSurPatagon,"Coyhaique, Región de Aysén, Patagonia, Chile",#Reporte de hoy Lunes 30.03.2020 COVID-19 #Coronavirus #Aysen https://t.co/t7ildPEJgN vía @YouTube
OmarDuartGarcia,COLOMBIA,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/YzqKxCAXsR"
mundoescazu,,"#Reporte Incendio Forestal continúa activo en Pico Blanco, en desarrollo https://t.co/3AfamfUSWh"
ALERTA24NEWS,"Distrito Capital, Venezuela","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/XVsOb2vJrd"
julianturismo,"Ibague, Tolima - Colombia  ","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/f5z0hjkrKY"
Red5manantiales,"Zaragoza, Coahuila de Zaragoza","#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización 12:00 horas.… https://t.co/t5juG3Bxts"
CONAFOR,México,"#Reporte de #IncendiosForestales 🗓️🌳 30/03/2020

Se registran

🔥40 Activos

💦21 liquidados

Atienden 1,421 combatie… https://t.co/r2Zh90VAMJ"
magazincesar,"Cesar, Colombia","#Reporte🦠

Se Confirman 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes co… https://t.co/7SkgtHl9kl"
Uribiastereo,"Uribia, Colombia","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/NTlduxngOC"
RedDeApoyoSIC,Santiago De Cali,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/gXHb3NnUaX"
mirandatv22,"Miranda, Colombia","#Reporte 🦠 Confirmamos 94 nuevos casos de coronavirus en Colombia y 4 fallecidos, con los que llegamos a un total d… https://t.co/gXnJw8hgqB"
nuestrosdporte2,"Barranquilla, Colombia",#Reporte del @MinSaludCol: confirmados 96 nuevos casos de coronavirus y 2 fallecidos en Colombia. https://t.co/9q1FZxy1Ki
LaPrensaWeb,Monteria - Córdoba,"@MinSaludCol confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes c… https://t.co/IUyvCuyPwR"
bluvalledupar,"Cesar, Colombia","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/4EkN46Ezpp"
NoticiasBQ,"Barranquilla, Colombia","#Reporte🦠#COVID2019 🇨🇴 
😷  Nuevos Casos: 96
✅ Pacientes Recuperados:15
⚰️ Fallecidos: 12
📈Total contagios: paciente… https://t.co/GFrCRmQrjQ"
Soachacomunica,"Soacha, Cundinamarca","#Reporte🦠
El @MinSaludCol confirma 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 p… https://t.co/kFJY7ZZfqV"
jpserna,Barranquilla/Colombia,"#Reporte🦠#COVID2019 🇨🇴 
😷  Nuevos Casos: 96
✅ Pacientes Recuperados:15
⚰️ Fallecidos: 12
📈Total contagios: paciente… https://t.co/lQdKpkaww4"
eliradio,cucuta - colombia,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/SCr65H9P3Z"
caracolguaviare,San José del Guaviare ,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/XhJJZtB7BE"
RolandoPlazas,"Medellín, Colombia","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/t2ugDB7RAf"
sincensurapop,,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/wxk4TPja0z"
SeDijoVpr,"Valledupar, Colombia","#Reporte del Ministerio de Salud confirma 94 nuevos casos, para un total de 702 con #Covid_19. 
El Cesar continúa c… https://t.co/miZbx4i3H4"
laprimerisima91,,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/tBRBLHFAZl"
Tuimagencom,Valledupar,"#Reporte🦠El Ministerio de Salud @minsaludcol confirma 96 nuevos casos de coronavirus y 2 fallecidos en el país, par… https://t.co/yDr5bNFcQG"
AlcaldiaUrumita,,"#Reporte🦠 el @MinSaludCol confirma 96 nuevos casos de coronavirus y 2 fallecidos más en el país, para un total de 7… https://t.co/8crogyja5s"
radiosupercali,Cali - Valle,"@MinSaludCol #Reporte🦠Confirma 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacie… https://t.co/Nn3H6QTIkA"
InnSocialWeb,,"ATENCIÓN
#Reporte @MinSaludCol - 30 de marzo 2020. #Covid19Colombia https://t.co/h5jYBmVK9E"
leonardozuluaga,"Manizales, Colombia","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/dRyfmje9Bz"
cncnoticias,Pereira - Colombia,"#ÚltimaHora 

#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 p… https://t.co/X82PfNAEX0"
sanvicentedech,San Vicente de Chucuri,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/h75w3Bd3bv"
BananaStereo,"Chigorodó (Urabá), Antioquia","#Reporte 🦠 #CoronaVirus 

Se confirman hoy lunes 30 de marzo, 96 nuevos casos de coronavirus y 2 fallecidos en el p… https://t.co/3j1VlpgH7Z"
Carohu5,"Manizales, Colombia","#Reporte 🦠 96 nuevos casos de #coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con COVID-19 y… https://t.co/Rkp4qtOfQw"
wilberpreciado,Bogotá ,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/zbHLzKsRKw"
PluralidadZ,Colombia,"#Reporte🦠MinSalud Confirma 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes… https://t.co/LTJs0z79ur"
tsmnoticias,Neiva - Huila - Colombia,"#Reporte 
La ciudad de #Neiva reporta 5 nuevos casos, para un total de 21

El Ministerio de Salud confirma 96 nuevo… https://t.co/67qjPZxDx5"
RMADRID_CF_1902,,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/VS02bH02UG"
EnTertulia_,"Medellín, Colombia","@MinSaludCol #Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pa… https://t.co/oKkPlv4YJO"
Kevinvanegastv,"Pereira, Colombia","#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/eP8okxNacT"
NezzJ,Colombia⛽,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/a8T1PvIK1t"
ElOjoVallenato,Colombia,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/U8gfn3X8eJ"
AjuaaNoticiasMx,Saltillo Coahuila,"📍#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚12:00 horas.

C… https://t.co/xbI9Vk8K0V"
MinSaludCol,,"#Reporte🦠Confirmamos 96 nuevos casos de coronavirus y 2 fallecidos en el país, para un total de 798 pacientes con C… https://t.co/a6ai6Xm22m"
GobDeCoahuila,Coahuila de Zaragoza,"📍#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚12:00 horas.

C… https://t.co/V4GfhAgaKV"
Larry_vite,Santa Rosa - El Oro - Ecuador ,"#Emergencia #coronavirus #Casos #Fallecidos #Reporte 
-
Tenemos 9 casos confirmados,y lastimosamente ya son 4 perso… https://t.co/HYpUFEquPS"
GNB_CARABOBO,Valencia Edo. Carabobo,#30Mar #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 12:10 HLV @tutiempopereira… https://t.co/F8QHRcw1em
Conagua_Sonora,Hermosillo Sonora,#Reporte est. automáticas y aeropuertos Organismo de Cuenca Noroeste #Conagua #Temperaturas mínimasy máximas regist… https://t.co/S4oqv65i9O
jiazhac,Edo. Miranda Los Teques ,@ContactoCantv #reporte 21811281 Fui a CANTV a ver que pasaba  con este reporte la persona que me atendidio no enti… https://t.co/iQbNzmxQAo
GNB_CARABOD411,"Valencia, Venezuela",#30Mar #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 12:10 HLV @tutiempopereira… https://t.co/qP0ACZ5RSM
AR_Griman,Venezuela,"El planeta entero está en cuarentena y cada quién, dependiendo de sus recursos y su cultura, la vive de diferente m… https://t.co/RMnWuaHTlu"
Imagen_Puebla,"Puebla, México","#Reporte; En conferencia de prensa con el Gobernador 
@MBarbosaMX
, el titular de la dependencia 
@JorgeHumbertoU… https://t.co/7LSqiXwg5X"
SanpedroAhora,San Pedro de la Paz,"#REPORTE
#COVID19

Notificados al 29/03 a las 21 horas 
201 CASOS DE COVID-19 HAN SIDO CONFIRMADOS EN BIOBÍO Y 49 C… https://t.co/RrMWpR5P19"
Arroba_Noticias,Peru,"🗓 #Reporte │Situación de América del Sur frente al COVID-19. #Brasil representa el 37 % de infectados, seguidos de… https://t.co/xrSLlKmgqE"
INAMEH,Venezuela,#30Mar #INAMEHInforma  Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas al sur… https://t.co/VSVX49FRFj
INAMEH,Venezuela,#30Mar #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 12:10 HLV @tutiempopereira… https://t.co/Nb5KH9C7BZ
ccypctw,"Trelew, Argentina","#Reporte diario
#coronavirus 

#QuedateEnCasa🏠❤
#Trelew👇 https://t.co/VmbE7yhyV8"
ondas1350am,"Medellín, Colombia","#Reporte |  Se confirman 94 nuevos casos de coronavirus en Colombia y 4 fallecidos, con los que llegamos a un total… https://t.co/U5oooiTvTl"
INAMEH,Venezuela,"#30Mar #INAMEHInforma Ubicación de la Zona de Convergencia Intertropical, el Brillo Solar en aguas al noreste de Su… https://t.co/OGPKZW8PAt"
GNB_CARABODESUR,"Valencia, Carabobo","#30Mar @INAMEH Declinación solar hoy en los 4°14´32"" Norte. Incide perpendicularmente en la porción central de Amaz… https://t.co/WsmEzlKMWH"
GNB_CARABOBO,Valencia Edo. Carabobo,"#30Mar @INAMEH Declinación solar hoy en los 4°14´32"" Norte. Incide perpendicularmente en la porción central de Amaz… https://t.co/PTBSbtf2Qn"
GNB_CARABOD411,"Valencia, Venezuela","#30Mar @INAMEH Declinación solar hoy en los 4°14´32"" Norte. Incide perpendicularmente en la porción central de Amaz… https://t.co/5aOQr8Wmfz"
CentralReedan,,"#30Mar #INAMEHInforma Declinación solar hoy en los 4°14´32"" Norte. Incide perpendicularmente en la porción central… https://t.co/qpXc8AsKNj"
BFula1970,"Mérida, Venezuela",#30Mar #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 05:30 HLV https://t.co/FYJJIvEkWL
LaPiedadCity,"La Piedad, Michoacán",¡Buenos días a todos! La temperatura actual es de 14ºC y llegaremos hasta los 32 ºC el día de hoy. #Reporte #Clima #LaPiedad #Michoacan
INAMEH,Venezuela,"#30Mar #INAMEHInforma Declinación solar hoy en los 4°14´32"" Norte. Incide perpendicularmente en la porción central… https://t.co/kCBdQhF8Mc"
CanalSurPatagon,"Coyhaique, Región de Aysén, Patagonia, Chile","🔴⚠️ #Reporte CASO POSITIVO #COVID19 en la región de #Aysén (Lun.30.03.2020)
#CuidemonosEntreTodos
Fuente: Seremi de… https://t.co/V185eFDXtn"
pcivilsucre,"Sucre, Venezuela","#30Mar #INAMEHInforma Condiciones Meteorológicas próximas 24 Horas #Reporte de las 06:00 HLV 
@tutiempopereira… https://t.co/2k5oYI9xgk"
pcivilsucre,"Sucre, Venezuela","#30Mar #INAMEHInforma Precipitaciones estimadas próximas 24 horas #Reporte de las 06:00 HLV. 
@tutiempopereira… https://t.co/TmyJafSaRC"
pcivilsucre,"Sucre, Venezuela",#30Mar #INAMEHInforma Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas al sur d… https://t.co/MxcdUrsuwP
WebfeNoticias,,New post (Un nuevo muerto elevó a 20 las víctimas fatales y a 820 los infectados con #CORONAVIRUS en Argentina) has… https://t.co/998YiXusZO
PCivil_Ve,Caracas_Venezuela,#30Mar #INAMEHInforma Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas al sur d… https://t.co/LhlmhXyeOq
PCivil_Ve,Caracas_Venezuela,#30Mar #INAMEHInforma Mapa de Riesgo de Incendios Forestales #Reporte de las 05:30 HLV… https://t.co/73S9tRJ4Hn
PCivil_Ve,Caracas_Venezuela,#30Mar #INAMEHInforma Se observa nubosidad convectiva generadora de precipitaciones y descargas eléctricas al sur d… https://t.co/5SFfxZ8jdu
