user,location,text
ReporteSanCris,"San Cristóbal de Las Casas, Chiapas.","#Reporte. #COVID19. #QuédateEnCasa. 31/03/2020.

•1,215 casos confirmados
•3,511 casos sospechosos
•6,282 casos neg… https://t.co/KOAdboBSzR"
UTTorreon,"Torreon, Coahuila, Mexico","📍#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚 19:00 horas.… https://t.co/zfUplO11HJ"
HumbertoRoblesM,San Cristóbal de Las Casas.,"#Reporte. #COVID19. #QuédateEnCasa. 31/03/2020.

•1,215 casos confirmados
•3,511 casos sospechosos
•6,282 casos neg… https://t.co/R2kC6vsAMN"
GobDeCoahuila,Coahuila de Zaragoza,"📍#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚 19:00 horas.… https://t.co/fKKQk6uSTO"
LaudEstereo,Bogotá - Colombia,"#COVID19 #Reporte🦠 presentamos los datos actualizados sobre la situación del coronavirus en Colombia, Latinoamerica… https://t.co/YFCnrLOStD"
SaludMonteria,Montería,"#Reporte Sobre los contactos estrechos del paciente positivo para Covid-19 en Lorica, quien trabaja y reside en la… https://t.co/oyH88fObmM"
alcaldiacarepa,"Carepa, Colombia","#Reporte📣
#EtapaDeMitigación📊

📌En #Carepa,a la fecha, no se reportan casos confirmados de pacientes con Coronaviru… https://t.co/Gldd1VAsJX"
ConclusionRos,"Rosario, Argentina","#Coronavirus #Reporte | Las víctimas fatales suman 27 en el país, mientras que los casos son 1054 en total.

https://t.co/gzYyd30rZF"
Sedesusinaloa1,"Sinaloa, México","#Reporte

La calidad del aire en Sinaloa es buena.
En la semana del 23 al 29 de marzo los niveles de contaminación… https://t.co/iNRDtzYVUY"
OmarDuartGarcia,COLOMBIA,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/ytKWRZG5eK"
Soachacomunica,"Soacha, Cundinamarca","#Reporte🦠
El @MinSaludCol confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906… https://t.co/sdBkNKTxgd"
Canalmonteria,"Montería, Córdoba","#Reporte Confirmados 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/9SJ3x5cUKz"
Moises31406791,España,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/GeLW8Ykb9l"
neojack64,COLOMBIA,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/g6fOA10eQX"
InnSocialWeb,,"ATENCIÓN
#Reporte @MinSaludCol - 31 de marzo 2020. #Covid19Colombia https://t.co/FcBcjCBVaV"
INAMEH,Venezuela,#31Mar #INAMEHInforma  Nubosidad fragmentada  y áreas despejadas en el resto del país. #Reporte de las 17:45 HLV… https://t.co/HV4yFegLd0
INAMEH,Venezuela,#31Mar #INAMEHInforma  En la Imagen de satélite en canal visible se observa nubosidad convectiva generadora de prec… https://t.co/qrtItQu3Zs
INAMEH,Venezuela,#31Mar #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 18:00 HLV @tutiempopereira… https://t.co/nN16FVNCJm
CanalSurPatagon,"Coyhaique, Región de Aysén, Patagonia, Chile","🔴⚠️ #Reporte Sanitario por #COVID19 en la región de #Aysén Martes 31 de marzo 2020
#CuidemonosEntreTodos
Fuente:… https://t.co/DP0qh38g07"
conceptsmedical,"Bogotá, D.C., Colombia","#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/Z5EO5WGenW"
Lafmneiva,Neiva-Huila,"@MinSaludCol #Reporte🦠Confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pac… https://t.co/J1b5kfFPsr"
Puebla_Enterate,"Puebla, México",#Reporte Semáforo sin funcionar en calle 13 Sur y calle 19 Poniente en sentido de Sur a Norte @MovilidadPue. https://t.co/07sCB77HHH
BlogDelRegio,México,Toda la información sobre el panorama del #Coronavirus en #NuevoLeón en la siguiente liga: 👉🏽… https://t.co/w8ApZT0Jkb
Puebla_Enterate,"Puebla, México","#Reporte Semáforo no funciona en circuito interior y calle 31 Sur, sentido de Oriente a Poniente @MovilidadPue. https://t.co/qzcVvga3Mw"
Puebla_Enterate,"Puebla, México",#Reporte En la 27 Poniente y 13 Sur no funciona el semáforo @MovilidadPue. https://t.co/4O66uR8Oz8
boyacasietedias,Boyacá,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/fLF6HdLHVd"
aldianoticiasco,"Boyacá, Colombia",#Reporte oficial para hoy 31 de marzo de casos confirmados según el @MinSaludCol 108 nuevos casos de coronavirus y… https://t.co/YvwfKvdJqO
rccarlosj,Venezuela,#Reporte al 30/03/20 / Informó la Vicepresidenta Delcy Rodríguez: Venezuela registra 6 nuevos casos de Covid-19 par… https://t.co/vK7kuKb1j0
jimmyanjel,medellin-antioquia-Colombia,"#Reporte🦠Confirmados 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/iomIjkjwWn"
VillavoNotiWeb,Colombia,"#ATENCIÓN
#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pac… https://t.co/eC6nKobEHd"
dalucuor,Colombia,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/Jly9dmZuot"
RedDeApoyoSIC,Santiago De Cali,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/seUnw0hwTT"
Canal12vpar_,"Valledupar, Cesar, Colombia","#Reporte🦠Confirman 108 nuevos casos de coronavirus y 2 fallecidos más en Colombia, para un total de 906 pacientes c… https://t.co/anXU3fw8VN"
avanewstv,Worldwide ,"#Reporte🦠 108 nuevos casos de coronavirus en #Colombia y 2 fallecidos en Colombia, para un total de 906 pacientes c… https://t.co/m03FN1tJA8"
RMADRID_CF_1902,,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/4nE1nz01Gb"
CarlosChinLopez,"Montería, Colombia","ATENCIÓN | Reporte del Covid-19 del día de hoy martes 21 de marzo:

#Reporte🦠Confirmamos 108 nuevos casos de corona… https://t.co/16akpcXHcR"
RioNoticiasCo,"Córdoba, Colombia","ATENCIÓN | Reporte del Covid-19 del día de hoy martes 21 de marzo:

#Reporte🦠Confirmamos 108 nuevos casos de corona… https://t.co/T3XGSqE66W"
laprimerisima91,,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/JmW1vc6IVX"
EcosdePasto,"Pasto, Colombia","#Reporte🦠Se confirman 108 nuevos casos de coronavirus, 2 fallecidos y 31 recuperados  en Colombia, para un total de… https://t.co/A913PbuUJG"
ese_imsalud,"Cúcuta, Colombia","#Reporte
El Ministerio de Salud🦠Confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total… https://t.co/POYNjuTkHM"
Olimpicacali,Cali Colombia 104.5 Fm,"🚨 OLÍMPICA stereo informa:
.
#Reporte🦠 El ministerio de salud Confirma 108 nuevos casos de coronavirus y 2 fallecid… https://t.co/oUcmTVKSKz"
magazincesar,"Cesar, Colombia","#Noticias #colombia #Covid_19
#Reporte🦠

Se Confirman 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, p… https://t.co/eGFiKfJeeV"
CodNoticiasCol,"Cúcuta, Colombia","⬆️ #Reporte 🦠Confirmamos 👉🏽108 nuevos casos de #coronavirus y 2 fallecidos en #Colombia, para un total de 👉🏽906 pac… https://t.co/uK5InKH6qL"
NotiAtlantico1,Colombia,"El Dpto del Atlántico lleva  33 casos de Covid-19, 29 son en Barranquilla y 1 fallecido en el Atlántico .… https://t.co/MeAwLqzRkq"
EnTertulia_,"Medellín, Colombia","@MinSaludCol #Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906… https://t.co/B8SeYCBX4W"
BananaStereo,"Chigorodó (Urabá), Antioquia","#Reporte 🦠 #CoronaVirus 
Se confirman hoy martes 31 de marzo 108 nuevos casos de coronavirus y 2 fallecidos en Colo… https://t.co/zoASYivLSr"
caracolguaviare,San José del Guaviare ,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/y6L8mO6G1v"
mirandatv22,"Miranda, Colombia","#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/Yfrg1U5E2M"
sonsonateando,"Sonsonate, El Salvador",#Reporte | Esto es lo que esta sucediendo en las afueras de la Caja de Crédito de Sonsonate y del Banco de Fomento… https://t.co/Jv4um7KLJj
sonsonateando,"Sonsonate, El Salvador","#Reporte | En Sersaprosa Sonsonate, son miles de personas esperando cobrar los $300, lamentablemente no hay nadie v… https://t.co/uAKxH1EgZq"
Grajalesluise,"Bogotá, D.C., Colombia🇨🇴",#Atención El @MinSaludCol Dr @Fruizgomez acababa de informar. #Reporte de 108 nuevos casos de #Coronavirus y 2 fall… https://t.co/aiwWb6I7IN
AlfredoPena27,Soy Venezolano,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/WIyq4ESGYa"
POSITIVAFMRADIO,"Tunja, Colombia","@MinSaludCol #Reporte🦠Confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pac… https://t.co/UAq5SEn7Ty"
leonardozuluaga,"Manizales, Colombia","#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/jTtfDiHmuq"
Kevinvanegastv,"Pereira, Colombia","#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/58WkzEWCys"
SucreComunica,Sincelejo,"#sincelejo #colombia #Reporte Se confirman 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un tota… https://t.co/GxSmuz0GvJ"
tsmnoticias,Neiva - Huila - Colombia,"#Reporte 
Tres nuevos casos en el #Huila, para un total de 24

El Ministerio de Salud confirma 108 nuevos casos de… https://t.co/vI147Ls6V9"
RolandoPlazas,"Medellín, Colombia","#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/lJLi9uNNaQ"
bluvalledupar,"Cesar, Colombia","#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/57wGXSfjKJ"
