COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
848,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,CASA,33,830080,192000,'26/08/2017',,'12/07/2014',INACTIVO
849,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,13,866490,192000,'26/08/2017',,'04/05/2013',INACTIVO
850,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,17,891800,192000,'26/08/2017',,'30/08/2017',VIGENTE
851,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,28,713580,163000,'17/04/2013',,'11/07/2013',INACTIVO
852,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,16,725620,163000,'17/04/2013',,'29/08/2014',INACTIVO
853,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,18,768740,163000,'17/04/2013',,'01/11/2015',INACTIVO
854,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,29,674700,163000,'17/04/2013',,'27/03/2018',VIGENTE
855,BUCARAMANGA,DIAMANTE II,BUCARAMANGA,CUATRO,LOCAL,27,1600000,0,'28/02/2013','27/09/2019','04/02/2020',VIGENTE
856,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,75,830080,0,'20/04/2013',,'30/05/2014',INACTIVO
857,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,31,764550,0,'20/04/2013',,'11/05/2013',INACTIVO
858,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,25,825240,0,'20/04/2013',,'01/10/2016',VIGENTE
859,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,88,851160,0,'20/04/2013',,'04/05/2013',VIGENTE
860,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,63,519000,0,'20/04/2013',,'27/07/2019',VIGENTE
861,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,38,520450,0,'20/04/2013',,'05/09/2017',INACTIVO
862,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,23,509700,0,'20/04/2013',,'17/09/2013',INACTIVO
863,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,57,608730,0,'20/04/2013',,'11/10/2014',INACTIVO
864,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,24,500000,0,'20/04/2013',,'16/10/2018',INACTIVO
865,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,23,556930,0,'20/04/2013',,'10/02/2018',VIGENTE
866,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,23,570130,0,'20/04/2013',,'17/09/2013',INACTIVO
867,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,85,546000,0,'20/04/2013',,'06/01/2016',INACTIVO
868,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,96,846000,0,'20/04/2013',,'26/08/2016',INACTIVO
869,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,30,830080,0,'20/04/2013',,'30/07/2014',INACTIVO
870,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,56,795130,0,'20/04/2013',,'01/06/2013',INACTIVO
871,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,14,836110,0,'20/04/2013',,'18/09/2017',VIGENTE
872,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,17,846180,0,'20/04/2013',,'10/05/2013',INACTIVO
873,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,22,830400,0,'20/04/2013',,'30/01/2019',VIGENTE
874,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,64,800000,0,'20/04/2013',,'26/02/2017',INACTIVO
875,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,23,832720,0,'20/04/2013',,'28/12/2017',INACTIVO
876,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,71,800000,0,'20/04/2013',,'28/05/2016',INACTIVO
877,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,13,535500,0,'20/04/2013',,'30/01/2018',VIGENTE
878,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,15,634030,0,'20/04/2013',,'03/07/2013',INACTIVO
879,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,63,613350,0,'20/04/2013',,'22/08/2015',INACTIVO
880,BUCARAMANGA,NUEVO SOTOMAYOR,BUCARAMANGA,CUATRO,LOCAL,28,1050000,315000,'15/06/2013',,'18/10/2019',VIGENTE
881,BUCARAMANGA,NUEVO SOTOMAYOR,BUCARAMANGA,CUATRO,CASA,39,1144990,315000,'15/06/2013',,'19/07/2017',INACTIVO
